generation,individual_id,LOGLB,NUMG,LOGG,LOGB,TAGW,GHIST,LOGP1,GHIST1,mispredictions,p2 latency,energy per instruction
prior,0,6,6,10,14,10,94,11,9,13169.0,1.61,904.0
prior,1,8,6,12,10,11,62,18,6,29800.0,2.22,3720.0
prior,2,7,8,11,10,10,132,11,4,29672.0,1.94,1376.0
prior,3,6,6,11,13,8,103,11,7,28275.0,1.71,1000.0
prior,4,7,4,10,12,13,111,15,6,14872.0,1.7,1318.0
prior,5,8,7,10,11,10,102,12,12,29301.0,1.78,1822.0
prior,6,8,5,12,12,10,171,12,9,31244.0,2.1,1960.0
prior,7,6,8,11,13,10,150,11,5,12141.0,1.79,1342.0
prior,8,5,8,12,10,10,110,19,10,12331.0,2.36,3542.0
prior,9,5,8,12,8,13,109,16,4,12233.0,2.14,2341.0
prior,10,6,7,11,9,12,199,18,4,12405.0,2.05,2245.0
prior,11,4,4,12,8,10,200,17,4,13651.0,1.8,1679.0
prior,12,8,6,12,8,8,74,17,8,24743.0,2.24,3163.0
prior,13,4,5,10,13,12,151,17,8,16464.0,1.67,1905.0
prior,14,8,4,12,14,13,116,16,5,14046.0,1.95,2548.0
prior,15,7,4,10,8,9,52,18,7,30011.0,1.53,1838.0
prior,16,6,5,12,11,12,134,13,6,12921.0,2.02,1189.0
prior,17,5,4,9,12,11,69,11,9,14082.0,1.41,490.0
prior,18,7,7,8,10,14,154,13,7,13592.0,1.53,991.0
prior,19,5,5,12,12,11,189,11,4,12565.0,1.99,1302.0
prior,20,4,5,10,14,9,126,19,6,12705.0,1.53,1633.0
prior,21,5,7,12,12,12,63,16,10,12970.0,2.1,2086.0
prior,22,4,5,11,9,8,146,11,6,12345.0,1.62,890.0
prior,23,5,6,12,12,13,72,15,5,13207.0,2.06,1892.0
prior,24,4,8,11,12,9,173,10,4,12075.0,1.81,1626.0
prior,25,5,8,11,14,10,172,18,11,12375.0,2.07,2687.0
prior,26,8,8,10,14,10,173,15,11,28910.0,1.83,2795.0
prior,27,5,8,9,10,11,164,16,9,12727.0,1.65,1429.0
prior,28,7,8,11,11,9,195,15,8,28314.0,1.94,1709.0
prior,29,6,7,9,11,14,181,19,7,13225.0,1.64,1887.0
prior,30,6,8,12,11,10,58,19,12,14370.0,2.46,3718.0
prior,31,7,8,8,14,8,194,13,12,29509.0,1.57,1295.0
prior,32,6,4,8,9,11,179,13,4,15193.0,1.37,487.0
prior,33,5,5,9,9,10,109,20,4,13371.0,1.58,1511.0
prior,34,8,7,8,10,13,62,10,8,14207.0,1.57,1481.0
prior,35,4,8,12,14,8,111,17,10,14075.0,1.97,2901.0
prior,36,7,8,9,9,10,102,16,5,29421.0,1.61,1624.0
prior,37,7,4,8,10,12,198,15,11,15189.0,1.39,922.0
prior,38,6,8,8,10,12,154,17,6,21727.0,1.54,1310.0
prior,39,5,5,12,12,9,199,18,12,14347.0,2.03,2171.0
prior,40,7,4,10,14,8,112,10,9,29918.0,1.53,953.0
prior,41,4,7,8,8,12,61,20,11,13574.0,1.43,1745.0
prior,42,8,7,10,14,9,190,13,5,28381.0,1.73,2195.0
prior,43,5,4,8,14,10,65,18,8,14951.0,1.4,1213.0
prior,44,5,7,8,11,13,71,10,6,13612.0,1.47,749.0
prior,45,7,8,10,9,13,75,11,5,13036.0,1.71,1223.0
prior,46,4,7,10,8,9,58,16,11,13476.0,1.57,1607.0
prior,47,8,7,10,13,12,120,10,6,13396.0,1.79,1972.0
prior,48,7,8,12,10,14,165,16,7,12085.0,2.21,2349.0
prior,49,6,7,10,8,14,52,20,8,15551.0,1.74,2194.0
prior,50,5,6,10,11,11,113,20,6,12660.0,1.73,1960.0
prior,51,6,6,12,11,8,139,19,7,28213.0,2.06,2360.0
prior,52,6,5,11,8,9,62,19,9,28542.0,1.82,1806.0
prior,53,4,8,11,14,12,133,17,6,11967.0,1.79,2867.0
prior,54,5,5,8,10,10,138,13,11,14080.0,1.37,569.0
prior,55,6,8,11,11,14,150,12,6,12143.0,1.91,1354.0
prior,56,4,6,10,10,13,145,15,4,11957.0,1.56,1565.0
prior,57,7,4,9,9,12,82,15,9,15486.0,1.53,936.0
prior,58,7,5,8,10,10,103,15,7,28354.0,1.51,973.0
prior,59,4,6,9,11,11,169,14,12,19256.0,1.46,1069.0
prior,60,6,6,12,11,10,70,16,5,14559.0,1.97,1767.0
prior,61,5,8,11,13,10,146,17,12,12184.0,1.85,2210.0
prior,62,4,5,9,9,13,98,13,9,13073.0,1.46,781.0
prior,63,4,5,11,10,11,183,19,4,12120.0,1.8,1724.0
prior,64,4,4,9,10,8,187,13,11,15453.0,1.38,622.0
prior,65,6,6,10,8,14,88,16,10,16484.0,1.77,1483.0
prior,66,5,8,12,8,9,104,12,7,14382.0,1.93,1675.0
0,68,8,8,9,13,8,100,20,9,25156,1.61,4714.0
0,69,6,7,12,8,9,105,18,12,29249,2.18,2598.0
0,70,6,6,8,10,10,138,16,9,14049,1.41,993.0
0,71,5,4,11,12,13,128,15,8,13581,1.75,1181.0
0,72,8,5,12,14,12,193,10,7,15283,2.16,2080.0
0,73,4,7,10,13,11,117,16,4,12209,1.6,1828.0
0,74,7,4,9,10,10,188,20,10,31286,1.52,2849.0
0,75,4,7,9,8,11,134,12,11,19278,1.5,952.0
0,76,8,8,12,8,10,197,19,7,29184,2.35,4646.0
0,77,4,5,9,10,13,125,19,8,12746,1.48,1296.0
0,78,6,5,12,10,14,94,10,8,13124,1.97,1033.0
0,79,5,7,11,10,14,78,11,6,14498,1.83,1198.0
0,80,5,5,8,13,14,121,11,5,13897,1.41,578.0
0,81,5,6,9,8,9,63,13,10,14313,1.48,631.0
0,82,7,8,12,14,13,61,18,12,13164,2.14,3265.0
0,83,7,5,9,14,8,58,18,8,29453,1.57,2102.0
0,84,5,8,9,8,9,199,15,5,14497,1.56,1376.0
0,85,4,6,10,12,14,137,20,8,12095,1.54,2078.0
0,86,4,4,12,14,13,84,12,5,13744,1.86,1462.0
0,87,6,8,8,9,12,171,10,6,22317,1.53,792.0
0,88,6,6,9,10,14,136,13,5,12601,1.55,818.0
0,89,6,6,10,12,14,110,14,9,16150,1.67,1199.0
0,90,7,5,10,11,13,179,16,8,13380,1.8,1624.0
0,91,6,4,10,10,8,179,10,7,30002,1.49,570.0
0,92,7,5,11,8,10,124,15,11,28111,1.88,1393.0
0,93,4,7,10,12,8,95,16,11,12785,1.52,1645.0
0,94,6,4,11,14,11,132,20,11,14138,1.71,1912.0
0,95,8,8,11,9,8,174,17,9,23763,2.17,3291.0
1,96,8,4,12,14,8,74,17,9,26919,1.98,3710.0
1,97,7,6,10,8,8,112,10,8,28862,1.62,881.0
1,98,4,4,11,9,13,128,11,8,16743,1.64,852.0
1,99,5,5,11,12,8,146,15,6,27165,1.75,1053.0
1,100,6,5,8,10,14,121,17,5,14188,1.47,1052.0
1,101,5,8,8,13,12,154,11,6,13330,1.47,820.0
1,102,5,5,8,10,10,109,15,4,14210,1.41,648.0
1,103,7,5,9,9,10,103,20,7,27549,1.63,2839.0
1,104,6,5,9,11,12,134,13,6,13138,1.51,748.0
1,105,4,6,10,12,14,137,16,9,12115,1.6,1491.0
1,106,6,6,8,10,10,138,20,8,14022,1.46,1661.0
1,107,6,8,11,13,10,146,17,12,12421,1.86,1970.0
1,108,5,8,12,9,12,171,10,10,12000,2.02,1737.0
1,109,6,8,8,10,10,110,19,6,13789,1.47,1720.0
1,110,4,7,10,14,9,125,19,5,12376,1.57,2022.0
1,111,8,5,9,10,13,190,16,8,14521,1.69,2002.0
1,112,6,7,10,11,11,181,16,4,13091,1.75,1635.0
1,113,4,7,9,13,14,117,19,7,12554,1.55,1776.0
1,114,6,5,11,8,9,62,10,9,28421,1.73,684.0
1,115,6,8,12,12,13,103,15,10,12266,2.29,2274.0
1,116,7,5,8,10,10,105,18,7,27726,1.53,1804.0
1,117,4,4,11,14,11,132,20,4,13633,1.62,1833.0
1,118,6,6,10,10,13,145,15,11,12571,1.64,1242.0
1,119,6,4,8,13,14,179,13,4,14876,1.4,611.0
1,120,7,5,10,8,9,62,18,7,28925,1.7,1885.0
1,121,6,4,11,8,9,52,19,9,28325,1.7,1686.0
1,122,4,8,10,14,10,173,15,11,12163,1.73,2158.0
1,123,8,7,9,8,11,134,12,11,28934,1.62,1619.0
1,124,7,7,11,12,8,199,16,9,27842,1.87,1821.0
1,125,5,4,10,14,12,63,10,10,13614,1.52,685.0
1,126,4,6,9,11,11,62,14,12,16597,1.45,1053.0
1,127,8,7,8,10,13,169,10,8,14179,1.58,1492.0
1,128,4,7,8,10,14,95,13,7,13116,1.42,904.0
1,129,7,7,10,12,8,154,16,11,28507,1.71,2126.0
1,130,4,7,10,13,11,117,15,4,12263,1.63,1581.0
1,131,4,6,10,10,13,145,16,4,11924,1.58,1380.0
1,132,6,8,11,8,9,150,11,5,30123,1.87,1114.0
1,133,5,6,9,13,10,63,13,10,13578,1.47,707.0
1,134,5,8,9,10,11,189,16,9,12749,1.65,1433.0
1,135,5,5,12,12,11,164,11,4,12818,1.99,1302.0
1,136,7,6,12,11,10,194,16,12,29359,2.0,2185.0
1,137,6,8,8,14,8,70,13,5,29539,1.49,1137.0
1,138,7,5,9,9,12,82,15,9,13843,1.65,1215.0
1,139,4,4,9,9,13,98,13,9,14397,1.4,629.0
1,140,6,8,11,13,12,151,11,8,12199,1.95,1521.0
1,141,4,5,10,13,10,150,17,5,12417,1.59,1386.0
1,142,4,7,10,14,9,190,13,11,12647,1.53,1385.0
1,143,8,7,10,8,9,58,16,5,28044,1.82,2493.0
1,144,5,4,9,10,8,187,11,5,29938,1.4,469.0
1,145,4,5,8,13,14,108,13,11,13852,1.43,807.0
1,146,7,6,9,10,14,136,13,5,19133,1.6,1130.0
1,147,6,8,11,10,10,132,14,4,12447,1.85,1431.0
1,148,7,4,10,11,11,82,15,9,15008,1.66,1235.0
1,149,5,6,9,9,12,113,20,6,17717,1.64,1724.0
1,150,5,8,11,14,13,71,10,11,12959,1.95,1684.0
1,151,5,7,8,11,10,172,18,6,13536,1.46,1432.0
1,152,6,7,11,12,13,72,18,5,12864,2.07,2381.0
1,153,5,6,12,9,12,199,15,4,12679,2.05,1810.0
1,154,4,8,10,12,9,173,15,4,12372,1.59,1581.0
1,155,8,8,11,14,10,173,10,11,29090,1.94,2486.0
1,156,8,7,8,10,11,164,10,9,29124,1.56,1492.0
1,157,5,8,9,10,13,62,16,8,13385,1.67,1500.0
1,158,8,8,12,11,11,148,19,7,29347,2.6,5935.0
1,159,7,8,12,10,10,58,16,12,27600,2.13,2249.0
1,160,6,6,12,11,11,180,16,4,12348,1.99,1814.0
1,161,6,4,8,9,10,179,13,5,16273,1.36,480.0
1,162,4,6,12,8,12,61,19,11,12685,1.99,2390.0
1,163,6,7,8,11,8,139,20,7,29047,1.49,1782.0
1,164,4,7,9,14,11,130,17,12,18865,1.48,1619.0
1,165,4,8,11,8,12,133,12,6,12010,1.82,1759.0
2,166,4,6,10,13,10,150,17,5,12262,1.61,2203.0
2,167,4,5,9,11,11,62,14,12,16984,1.45,899.0
2,168,4,8,11,9,8,146,11,6,12536,1.78,1516.0
2,169,4,5,11,8,12,133,12,6,12286,1.75,1074.0
2,170,4,6,8,10,10,65,18,4,19250,1.38,998.0
2,171,5,4,10,14,13,145,11,8,17936,1.53,734.0
2,172,7,6,10,8,13,145,16,4,12799,1.84,1698.0
2,173,4,6,10,10,8,112,10,8,12969,1.49,885.0
2,174,7,6,12,9,12,199,11,4,13092,2.03,1296.0
