LOGLB,NUMG,LOGG,LOGB,TAGW,GHIST,LOGP1,GHIST1,mispredictions,p2 latency,energy per instruction
4,6,10,10,14,150,19,11,11864.0,1.57,1709.0
5,6,10,10,14,112,11,5,12148.0,1.58,852.0
4,5,10,10,14,145,11,5,12083.0,1.53,927.0
4,6,10,10,10,145,15,4,11917.0,1.49,1409.0
4,6,10,10,10,145,12,4,12026.0,1.53,1004.0
4,4,8,10,13,187,10,5,14180.0,1.33,501.0
5,6,10,10,12,125,11,4,12243.0,1.57,803.0
4,6,11,14,14,145,10,10,11714.0,1.83,1705.0
4,6,10,10,14,145,10,11,11928.0,1.56,1100.0
4,6,10,13,13,145,11,5,11887.0,1.57,1268.0
5,6,8,10,12,112,10,11,12918.0,1.41,539.0
4,5,8,9,11,112,10,11,13666.0,1.33,503.0
5,6,9,11,13,145,10,10,12325.0,1.53,717.0
5,5,8,12,10,145,10,10,13624.0,1.35,454.0
4,6,8,10,8,112,12,4,14161.0,1.32,587.0
5,4,9,9,11,187,10,10,13941.0,1.38,406.0
4,6,11,10,14,145,10,5,11737.0,1.77,1348.0
4,6,10,13,14,145,19,5,11838.0,1.58,1782.0
4,5,10,10,14,145,10,4,12055.0,1.54,918.0
4,6,10,10,13,145,10,11,11938.0,1.54,1064.0
5,6,9,11,14,145,10,10,12287.0,1.53,728.0
4,6,10,10,10,179,11,7,12020.0,1.5,1009.0
4,5,9,8,13,145,11,4,12505.0,1.46,668.0
5,6,8,10,14,112,10,11,12910.0,1.42,566.0
4,4,8,9,13,187,10,11,14230.0,1.3,462.0
4,6,11,13,14,145,10,5,11706.0,1.84,1644.0
5,6,9,11,10,145,10,4,12681.0,1.44,589.0
4,4,8,8,8,63,10,10,15359.0,1.24,385.0
5,4,8,10,8,66,10,4,29567.0,1.3,337.0
5,5,8,9,10,132,10,5,13915.0,1.37,408.0
5,6,10,10,14,145,10,4,12103.0,1.6,837.0
4,6,8,9,11,112,10,10,13125.0,1.38,582.0
4,6,8,9,13,145,10,5,12967.0,1.35,615.0
4,5,10,10,10,145,10,4,12314.0,1.52,817.0
4,6,8,13,13,145,10,5,12745.0,1.35,715.0
5,4,8,9,13,63,10,4,14564.0,1.33,385.0
5,4,8,10,12,66,10,9,14734.0,1.32,376.0
5,4,8,11,13,67,11,4,14663.0,1.3,406.0
4,6,8,12,11,112,10,11,12908.0,1.38,639.0
5,5,8,13,14,145,10,5,13202.0,1.39,552.0
4,6,9,10,10,145,13,11,12531.0,1.44,804.0
4,6,8,10,11,112,10,4,12987.0,1.34,633.0
4,6,11,14,10,145,11,4,11734.0,1.69,1408.0
5,6,9,11,10,145,10,6,12659.0,1.44,590.0
4,5,10,10,10,153,11,11,12310.0,1.51,837.0
