config,NUMG,LOGG,LOGB,TAGW,GHIST,LOGP1,GHIST1,instructions,branches,condbr,predictions,extra_cycles,short_misp,block_short_misp,mispredictions,p1_lat,p2_lat,epi
N8_G11_B12_T11_H100_P14_PH6,8,11,12,11,100,14,6,2004999,396599,334545,368028,33043,20295,9936,12427,0.936667,1.86333,1542
N4_G11_B12_T11_H100_P14_PH6,4,11,12,11,100,14,6,2004999,396599,334545,369158,32344,18468,9242,14020,0.93,1.71,920
N6_G11_B12_T11_H100_P14_PH6,6,11,12,11,100,14,6,2004999,396599,334545,368216,32487,19896,9670,12551,0.93,1.83,1201
N8_G11_B12_T11_H100_P14_PH6,8,11,12,11,100,14,6,2004999,396599,334545,368028,33043,20295,9936,12427,0.936667,1.86333,1542
N10_G11_B12_T11_H100_P14_PH6,10,11,12,11,100,14,6,2004999,396599,334545,368193,33275,20470,9823,12553,0.936667,1.95667,1739
N12_G11_B12_T11_H100_P14_PH6,12,11,12,11,100,14,6,2004999,396599,334545,368113,33351,20300,9882,12564,0.943333,2.03,2102
N14_G11_B12_T11_H100_P14_PH6,14,11,12,11,100,14,6,2004999,396599,334545,368192,33518,20299,9802,12717,0.95,2.11667,2680
N16_G11_B12_T11_H100_P14_PH6,16,11,12,11,100,14,6,2004999,396599,334545,368342,33941,20457,9902,12915,0.976667,2.07,2496
N8_G9_B12_T11_H100_P14_PH6,8,9,12,11,100,14,6,2004999,396599,334545,368482,32733,19488,9437,13016,0.936667,1.64333,1086
N8_G10_B12_T11_H100_P14_PH6,8,10,12,11,100,14,6,2004999,396599,334545,368117,32794,19946,9718,12648,0.936667,1.66333,1341
N8_G11_B12_T11_H100_P14_PH6,8,11,12,11,100,14,6,2004999,396599,334545,368028,33043,20295,9936,12427,0.936667,1.86333,1542
N8_G12_B12_T11_H100_P14_PH6,8,12,12,11,100,14,6,2004999,396599,334545,368058,32978,20290,9929,12376,0.956667,2.07,1705
N8_G13_B12_T11_H100_P14_PH6,8,13,12,11,100,14,6,2004999,396599,334545,367970,32602,20201,9733,12097,0.936667,2.36,2160
N8_G14_B12_T11_H100_P14_PH6,8,14,12,11,100,14,6,2004999,396599,334545,368297,33853,20260,9925,12945,0.936667,2.77667,2571
N8_G11_B12_T11_H50_P14_PH6,8,11,12,11,50,14,6,2004999,396599,334545,368702,33209,19037,9034,13589,0.936667,1.86333,1540
N8_G11_B12_T11_H75_P14_PH6,8,11,12,11,75,14,6,2004999,396599,334545,368351,33139,19735,9382,12901,0.936667,1.86333,1541
N8_G11_B12_T11_H100_P14_PH6,8,11,12,11,100,14,6,2004999,396599,334545,368028,33043,20295,9936,12427,0.936667,1.86333,1542
N8_G11_B12_T11_H150_P14_PH6,8,11,12,11,150,14,6,2004999,396599,334545,368062,32229,19995,9735,12076,0.943333,1.87,1549
N8_G11_B12_T11_H200_P14_PH6,8,11,12,11,200,14,6,2004999,396599,334545,368131,32703,20085,9938,12439,0.946667,1.87333,1556
N8_G11_B12_T11_H300_P14_PH6,8,11,12,11,300,14,6,2004999,396599,334545,368577,32416,19522,9648,12974,0.956667,1.88333,1568
N8_G11_B12_T11_H500_P14_PH6,8,11,12,11,500,14,6,2004999,396599,334545,368488,32234,19416,9508,12739,0.96,1.88667,1588
N8_G11_B12_T8_H100_P14_PH6,8,11,12,8,100,14,6,2004999,396599,334545,376782,39264,7478,4205,28845,0.936667,1.84,1506
N8_G11_B12_T10_H100_P14_PH6,8,11,12,10,100,14,6,2004999,396599,334545,368068,33106,20300,9898,12567,0.936667,1.84,1511
N8_G11_B12_T11_H100_P14_PH6,8,11,12,11,100,14,6,2004999,396599,334545,368028,33043,20295,9936,12427,0.936667,1.86333,1542
N8_G11_B12_T12_H100_P14_PH6,8,11,12,12,100,14,6,2004999,396599,334545,367984,33090,20556,10055,12316,0.936667,1.87667,1573
N8_G11_B12_T14_H100_P14_PH6,8,11,12,14,100,14,6,2004999,396599,334545,368192,32936,20331,9872,12522,0.936667,2.05667,1794
N8_G11_B12_T16_H100_P14_PH6,8,11,12,16,100,14,6,2004999,396599,334545,368104,32441,20016,9646,12187,0.936667,2.1,1866
N8_G11_B10_T11_H100_P14_PH6,8,11,10,11,100,14,6,2004999,396599,334545,368079,33164,20502,10009,12593,0.936667,1.86333,1459
N8_G11_B12_T11_H100_P14_PH6,8,11,12,11,100,14,6,2004999,396599,334545,368028,33043,20295,9936,12427,0.936667,1.86333,1542
N8_G11_B14_T11_H100_P14_PH6,8,11,14,11,100,14,6,2004999,396599,334545,368050,32868,20414,9855,12317,0.943333,1.88333,1665
N8_G11_B16_T11_H100_P14_PH6,8,11,16,11,100,14,6,2004999,396599,334545,368050,33117,20403,9912,12423,0.936667,2.00333,1859
N8_G11_B12_T11_H100_P12_PH4,8,11,12,11,100,12,4,2004999,396599,334545,368068,35158,22249,10937,12491,0.82,1.88333,1259
N8_G11_B12_T11_H100_P12_PH6,8,11,12,11,100,12,6,2004999,396599,334545,368128,33182,20569,10044,12515,0.82,1.88333,1259
N8_G11_B12_T11_H100_P12_PH8,8,11,12,11,100,12,8,2004999,396599,334545,368052,30837,18097,8780,12296,0.82,1.88333,1259
N8_G11_B12_T11_H100_P12_PH12,8,11,12,11,100,12,12,2004999,396599,334545,368115,30259,17675,8873,12426,0.856667,1.88333,1261
N8_G11_B12_T11_H100_P14_PH4,8,11,12,11,100,14,4,2004999,396599,334545,368208,34867,22093,10798,12561,0.936667,1.86333,1543
N8_G11_B12_T11_H100_P14_PH6,8,11,12,11,100,14,6,2004999,396599,334545,368028,33043,20295,9936,12427,0.936667,1.86333,1542
N8_G11_B12_T11_H100_P14_PH8,8,11,12,11,100,14,8,2004999,396599,334545,368038,30220,17461,8493,12347,0.936667,1.86333,1543
N8_G11_B12_T11_H100_P14_PH12,8,11,12,11,100,14,12,2004999,396599,334545,368031,29335,16440,8971,12401,0.973333,1.86333,1543
N8_G11_B12_T11_H100_P16_PH4,8,11,12,11,100,16,4,2004999,396599,334545,368073,34491,21898,10760,12189,1.06667,1.89,1955
N8_G11_B12_T11_H100_P16_PH6,8,11,12,11,100,16,6,2004999,396599,334545,368053,32447,19793,9650,12302,1.06667,1.89,1955
N8_G11_B12_T11_H100_P16_PH8,8,11,12,11,100,16,8,2004999,396599,334545,368152,29811,16795,8237,12394,1.06667,1.89,1955
N8_G11_B12_T11_H100_P16_PH12,8,11,12,11,100,16,12,2004999,396599,334545,368053,28367,15541,8504,12297,1.06667,1.89,1956
N10_G12_B14_T12_H200_P14_PH6,10,12,14,12,200,14,6,2004999,396599,334545,368073,33045,20142,9748,12365,1,2.32667,2771
N10_G12_B14_T14_H200_P14_PH6,10,12,14,14,200,14,6,2004999,396599,334545,368028,32790,20309,9777,12141,1,2.4,2927
N10_G12_B14_T12_H300_P14_PH6,10,12,14,12,300,14,6,2004999,396599,334545,367956,32777,20096,9785,12271,1.01,2.33667,2781
N10_G12_B14_T14_H300_P14_PH6,10,12,14,14,300,14,6,2004999,396599,334545,368089,32494,20078,9658,12192,1.01,2.41,2937
N10_G13_B14_T12_H200_P14_PH6,10,13,14,12,200,14,6,2004999,396599,334545,368044,32870,20437,9946,12079,0.953333,2.54333,2923
N10_G13_B14_T14_H200_P14_PH6,10,13,14,14,200,14,6,2004999,396599,334545,367938,32870,20646,10029,12021,0.953333,2.59333,3071
N10_G13_B14_T12_H300_P14_PH6,10,13,14,12,300,14,6,2004999,396599,334545,367859,32672,20418,9977,11979,0.963333,2.55333,2930
N10_G13_B14_T14_H300_P14_PH6,10,13,14,14,300,14,6,2004999,396599,334545,367833,32595,20417,9978,11947,0.963333,2.60333,3081
N12_G12_B14_T12_H200_P14_PH6,12,12,14,12,200,14,6,2004999,396599,334545,368058,33118,20176,9804,12417,1.00667,2.41333,3320
N12_G12_B14_T14_H200_P14_PH6,12,12,14,14,200,14,6,2004999,396599,334545,367944,32611,20343,9767,11936,1.00667,2.46667,3507
N12_G12_B14_T12_H300_P14_PH6,12,12,14,12,300,14,6,2004999,396599,334545,367962,32854,20170,9787,12282,1.01667,2.42333,3329
N12_G12_B14_T14_H300_P14_PH6,12,12,14,14,300,14,6,2004999,396599,334545,367937,32703,20444,9841,11995,1.01667,2.47667,3518
N12_G13_B14_T12_H200_P14_PH6,12,13,14,12,200,14,6,2004999,396599,334545,367843,33320,20926,10101,12142,0.96,2.57667,3482
N12_G13_B14_T14_H200_P14_PH6,12,13,14,14,200,14,6,2004999,396599,334545,367808,33429,21090,10376,12196,0.96,2.63333,3670
N12_G13_B14_T12_H300_P14_PH6,12,13,14,12,300,14,6,2004999,396599,334545,367928,32969,20616,9936,12092,0.97,2.58667,3493
N12_G13_B14_T14_H300_P14_PH6,12,13,14,14,300,14,6,2004999,396599,334545,367876,32976,20669,10027,11982,0.97,2.64333,3681
